Sporazum | NN 0.0040 sporazuma
prilagodljive | adjKs 0.0799 anpassungsfahigstes, prilagodljiv, anpassungsfahigster, prilagodljiv, prilagodljiv, prilagodljiviji, prilagodljiviji, prilagodljiviji, anpassungsfahigerem, prilagodljiv, prilagodljiv, prilagodljiv, anpassungsfahigstem, najfleksibilniji, prilagodljiv, anpassungsfahigst
akumuliraju | VVINF anreichertet 0,0040, anreicheren, ne akumuliraju, anreicherst, anreichere, obogaćen, obogatio, anreicher, anreichertest, obogaćen
reprezentativno | adjKs 0.0931 više respektabilna, ansehnlicherer, ansehnlichem, ansehnlichstes, ansehnlichster, ansehnlichst, najzgodniji ansehnlichstem, najzgodniji, zgodan, zgodniji, ansehnlicherem, zgodan, lep, zgodan, više značajan
apelujući | adjKs 0.3382 privlačna, atraktivna, ansprechendst, dopadljiv, atraktivan, dopadljiv, žalba ostalog, atraktivna, ansprechendstem, privlačno, apelujemo na one koji najprivlačniji, atraktivnije, ansprechendster, više izazovne ansprechendstes
sofisticiran | adjKs 0,2216 veći izazov, zahtevajući, zahtevajući, zahtevajući, zahtevajući, zahtevajući, zahtevajući, anspruchsvollst, najambiciozniji, anspruchsvollster, zahtevajući, zahtevajući, zahtevajući, zahtevajući, najzahtevnije, najzahtevniji
Porast | VVINF 0.0040
pristojno | adjKs 0.0977 više ugledan, pristojan, više pristojan, poštovan, više pristojan, poštovan, pristojan, poštovan, većina pristojan, poštovan, anstandigerem, pristojan, anstandigstem, anstandigster, anstandigst, anstandigstes
rata | adjKs 0,0040 anteiligeres, anteiligerer, anteiligerem, anteiligeren, srazmerno, anteiligere, srazmerno učešće, anteiligst, srazmerno, anteiligster, anteiligste, anteiligstes, proporcionalno, anteiligsten, anteiligstem
poveriti | VVINF anvertrautet 0,0040, poveravaju, poverena, anvertrau, poverio se poverim, poverio, anvertrauest, anvertrautest, poverena
Zategnite | VVINF 0.0040
Pozdravljam | VVINF applaudieret 0,0040, aplaudirali, navijali, applaudier, applaudierest, applaudiertest, applaudiertet, applaudierst, aplaudira, aplaudiraju
kao | adjKs 0225 artigst, artigstem, većina uljudan, artigster, artigere, artigerem, kao što su, artigeren, ARTIGEM, artigerer, artigstes, kao što su, artigste, artigeres, kao, kao
više zapanjujući adjKs 0.3261, zastaje dah ostalog, atemberaubendster, zastaje dah one zapanjujuće, atemberaubendstem, oduzima dah, obogatite svoj, više od kojih zastaje dah, atemberaubendstes, zapanjujući, zapanjujući, oduzima dah, zapanjujući, atemberaubendst, dah | Zapanjujuće
atraktivan | adjKs 0.2162 atraktivan, dopadljiv, najatraktivniji, atraktivnije, attraktivster, atraktivnije, privlačan, privlačan, attraktivst, atraktivan, najatraktivniji, atraktivnije, privlačan, privlačan, privlačan, privlačan
Reciklaža | VVINF aufbereitetest 0,0040, aufbereitte, obrađuju, aufbereitten, aufbereite, obrađuju, aufbereittest, aufbereitetet, prečistač, aufbereitest, aufbereittet, reciklirani
poboljšati | VVINF aufbessertest 0,0040 aufbesserten, aufbesseren, aufbessertet, podrsku, aufbesserst, aufbesserte, jačanje, aufbessere, aufbesser
cvetaju | VVINF 0.0845
Porast | VVINF 0.0040
Pažnja | adjKs 0,0040 aufmerksamst, većina pažljivi, većina pažljivi, više upozorenja, pažljiv, aufmerksamster, aufmerksamstes, pažljivi, ljubazni, pažljiviji, pažljiviji, pažljivi, pažljivi, ljubazni, aufmerksamerem, pažljiv
navijanje | VVINF bodrili 0,0040, aufmuntertet, aufmunterst, ohrabrujući, podsticanje niže, podsticanje niži aufmunterten, podsticanje test, navija, navijali
ohrabrujući | adjKs 0.0040
uspravno | adjKs 0,0040 aufrechtester, aufrechterem, aufrechtest, aufrechtestes, uspravno, aufrechtestem, aufrechtesten, više uspravno, uspravno, uspravno, uspravno, uspravno, uspravno, više uspravno, aufrechterer, najviše uspravno
Iskreno | adjKs 0,0040 aufrichtigerem, iskreno, više pošten, iskren, više iskreno iskreno, iskrenije, aufrichtigster, iskreno, najiskrenije, pravi, iskreni, iskreno, iskreno, aufrichtigstem, iskren
grlo | VVINF 0.0040
Porast | VVINF 0.0040
Povećanje | VVINF povećana 0,0040 aufstocket, aufstockest, top-up, aufstockten, aufstocktet, aufstockst, doliti, kada se sve više na bodovi, top-up test
muster | VVINF 0.0040
konzumiranje | adjKs 0.0040, skupo je, složen, skup, aufvendigstem, složene, razrađuje, složenije, složenije, razrađuje, složenije, luksuzno, složenije, razrađuje, aufvendigster, aufvendigstes
upgrade | VVINF 0,0040 na vrednosti, revalorizacija, aufvertte, aufvertest, upgraded aufvertten, Aufvert, aufverttet, revalorizovano, aufverttest, poboljšava, aufvertetet, aufvertetest
do | NAR 0.0040
Remove | VVINF 0,0040 ausbaue, širi, test za proširenje, proširenja, ausbauet, gol za, proširenu ausbaust, ausbauest, sa mogućnošću proširenja, ausbautet
train | VVINF 0.0040 obučeni, obučenih, formirane, ausbildte, ausbildten, obučeni, ausbildtet, su obuke, test obuka, ausbildetet, ausbildtest, obuka, trening sr
izdržati | VVINF ausdauere 0,0040, izdržali, izdržljivost, ausdauerten, traje, ausdauerst, ausdauerte, ausdauertet, izdržljivost test, ausdaueren
detalj | adjKs 0,0040 detaljan, detaljnija, detaljno, detaljno, detaljno, detaljno, detaljno, detaljno, ausfuhrlichster, ausfuhrlicherem, ausfuhrlichstem, najdetaljniji, detaljan, najdetaljniji, puna detalja, najdetaljniji
Freaki | adjKs 0.0756
ofset | adjKs 0.0987 uravnotežen, ausgeglichner, ausgeglichenst, uravnotežen, ravnomerno izbalansirane Kept, uravnotežen, ausgeglichnere, uravnotežen, uravnotežen, ausgeglichenster, ausgeglichneres, ausgeglichnerer, najviše uravnotežen, uravnotežen, uravnotežen, ausgeglichenstem, najviše uravnotežen, ausgeglichneren, ausgeglichnerem, više izbalansiran, pravednija, više izbalansiran
ektended | adjKs 0.0040
Balanced | adjKs 0206 ausgevogenstes, uravnotežen, ausgevogner, ausgevogenster, ausgevognere, ausgevognerem, ausgevogneren, ausgevogenst, ausgevognerer, ausgevogenstem, ausgevogneres, najviše uravnotežen, uravnotežen, pravičan, uravnotežen, uravnotežen, uravnotežen, više izbalansiran, više izbalansiran, više izbalansiran, više izbalansiran, pravični
izabran | adjKs 0,0040 više selektivan, ausgevahltste, ausgevahltstem, ausgevahlteren, ausgevahlterem, izabrani, odabrani, izabrani, odabrani, ausgevahltster, ausgevahltstes, izabrana, ausgevahltsten, ausgevahlterer, ausgevahltst, izabran klijent
nagrađena | adjKs 0.3146 više odličan, više odlično, najistaknutiji, više odličan, ausgezeichnetster, odlično, ausgezeichnetstes, odličan, ausgezeichnetst, istaknuti, odlično, odlično, ausgezeichnetstem, odlična, više istaknuti, više odličan
nadoknaditi | VVINF 0.0040
commented | VVINF 0.0040
auskurieren | VVINF auskurierte 0,0040 auskurierst, auskurier, oporavlja od, auskuriere, auskurieret, auskurierest, oporavio od, auskuriertet, auskuriertest
dovoljno | VVINF 0.0040
